Seat,Version,Row,Column
1,A,1,1
2,A,2,1
3,A,3,1
4,A,4,1
5,A,5,1
6,A,6,1
7,A,7,1
8,A,8,1
1,B,1,2
2,B,2,2
3,B,3,2
4,B,4,2
5,B,5,2
6,B,6,2
7,B,7,2
8,B,8,2
1,A,1,3
2,A,2,3
3,A,3,3
4,A,4,3
5,A,5,3
6,A,6,3
7,A,7,3
8,A,8,3
1,B,1,4
2,B,2,4
3,B,3,4
4,B,4,4
5,B,5,4
6,B,6,4
7,B,7,4
8,B,8,4
1,A,1,5
2,A,2,5
3,A,3,5
4,A,4,5
5,A,5,5
6,A,6,5
7,A,7,5
8,A,8,5
1,B,1,6
2,B,2,6
3,B,3,6
4,B,4,6
5,B,5,6
6,B,6,6
7,B,7,6
8,B,8,6
1,A,1,7
2,A,2,7
3,A,3,7
4,A,4,7
5,A,5,7
6,A,6,7
7,A,7,7
8,A,8,7
1,B,1,8
2,B,2,8
3,B,3,8
4,B,4,8
5,B,5,8
6,B,6,8
7,B,7,8
8,B,8,8
1,A,1,9
2,A,2,9
3,A,3,9
4,A,4,9
5,A,5,9
6,A,6,9
7,A,7,9
8,A,8,9
1,B,1,10
2,B,2,10
3,B,3,10
4,B,4,10
5,B,5,10
6,B,6,10
7,B,7,10
8,B,8,10
1,B,1,11
2,B,2,11
3,B,3,11
4,B,4,11
5,A,5,11
6,A,6,11
7,A,7,11
8,A,8,11
